Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
Turkey,Manisa,0,1413041,0,0,0,38.615502899999996,27.4255716
Turkey,Mersin,0,1793931,0,0,0,36.8328277,33.9685895
Turkey,Samsun,0,1312990,0,0,0,41.230355700000004,35.968333799999996
Turkey,Tekirdağ,0,1005463,0,0,0,41.1185843,27.4144196
Turkey,Van,0,1106891,0,0,0,38.324959899999996,43.6589825
Turkey,Şanlıurfa,0,1985753,0,0,0,37.2595198,39.0408174
Uganda,Kampala,1,1507114,0,0,0,0.31771370000000004,32.581353899999996
Ukraine,Kharkiv,0,1430515,0,0,0,49.9902794,36.2303893
Ukraine,Kyiv,1,2893215,0,0,0,50.4500336,30.524136100000003
Ukraine,Lviv,0,750044,1,0,2022,49.841952,24.0315921
United Arab Emirates,Dubai,0,1089000,0,0,0,25.0657,55.1713
United Kingdom,Birmingham,0,1085810,0,1,1992,52.479699200000006,-1.9026911
United Kingdom,Glasgow,0,1209143,0,0,0,55.8609825,-4.248878700000001
United Kingdom,London,1,8135667,0,2,2012,51.5073219,-0.1276474
United Kingdom,Manchester,0,510746,0,1,2000,53.479489199999996,-2.2451147999999996
United Republic of Tanzania,Arusha,0,1000923,0,0,0,-3.4275339999999996,36.70858481848994
United Republic of Tanzania,Dar Es Salaam,0,5147070,0,0,0,-6.8160837,39.280358299999996
United States of America,Anchorage AK,0,0,1,0,1994,61.2163129,-149.8948523
United States of America,Atlanta Ga,0,472522,0,2,1996,33.749098700000005,-84.39018490000001
United States of America,Baltimore Md,0,614664,0,1,1948,39.2908816,-76.610759
United States of America,Bear Mountain Ct,0,0,1,0,1932,39.976578,-105.262775
United States of America,Boston Ma,0,673184,0,1,2024,42.3602534,-71.0582912
United States of America,Chicago Il,0,2704958,0,1,2016,41.875561600000005,-87.6244212
United States of America,Cleveland Oh,0,385809,0,1,1920,41.5051613,-81.6934446
United States of America,Colorado Springs Co,0,465101,1,0,1956,38.8339578,-104.8253485
United States of America,Dallas Tx,0,1317929,0,0,0,32.7762719,-96.7968559
United States of America,Denver Co,0,693060,2,0,1976,39.7348381,-104.9653271
United States of America,Detroit Mi,0,672795,0,1,1972,42.331550899999996,-83.04664029999999
United States of America,Duluth Mn,0,0,1,0,1932,46.77293220000001,-92.1251218
United States of America,Houston Tx,0,2303482,0,0,0,29.7589382,-95.36769740000001
United States of America,Lake Placid Ny,0,0,2,0,1980,44.279621,-73.979874
United States of America,Los Angeles Ca,0,3976322,0,2,2028,34.0536909,-118.2427666
United States of America,Minneapolis Mn,0,413651,1,1,1956,44.9772995,-93.2654692
United States of America,New York Ny,0,8537673,0,1,2012,40.7127281,-74.0060152
United States of America,Philadelphia Pa,0,1567872,0,1,1956,39.9527237,-75.16352619999999
United States of America,Phoenix Az,0,1615017,0,0,0,33.448436699999995,-112.07414170000001
United States of America,Salt Lake City Ut,0,193744,2,0,2002,40.759619799999996,-111.88679750000001
United States of America,San Antonio Tx,0,1492510,0,0,0,29.424600199999997,-98.4951405
United States of America,San Diego Ca,0,1406630,0,0,0,32.7174209,-117.16277140000001
United States of America,San Francisco Ca,0,870887,0,1,1956,37.779026200000004,-122.4199061
United States of America,San Jose Ca,0,1025350,0,0,0,37.3361905,-121.89058329999999
United States of America,Squaw Valley Ca,0,0,2,0,1960,36.7059295,-119.20015587604178
United States of America,St. Louis Mo,0,311404,0,2,1904,38.6529545,-90.24111656024635
United States of America,Yosemite Valley Ca,0,0,1,0,1932,37.734435,-119.60646740000001
Uruguay,Montevideo,1,1381946,0,0,0,-34.9059039,-56.1913569
Uzbekistan,Tashkent,1,2464933,0,1,2000,41.3123363,69.2787079
Venezuela,Caracas,1,2082130,0,0,0,10.506098,-66.9146017
Venezuela,Maracaibo,0,1653215,0,0,0,10.6499149,-71.6396282
Yemen,Sana'A,1,2022867,0,0,0,15.353856900000002,44.2058841
Zambia,Lusaka,1,1747152,0,0,0,-15.416448800000001,28.282153499999996
Zimbabwe,Harare,1,1485231,0,0,0,-17.831773000000002,31.045686
